COUNTRY,DATE,GROUP,COVID_VACCINE_ADM_1D,COVID_VACCINE_COV_1D,POPULATION,QUARTER,YEAR
BTN,2024-04-01,pw,0.000000000,,,1,2024
CHL,2024-04-01,pw,2236.000000000,,,1,2024
CIV,2024-04-01,pw,9038.000000000,,,1,2024
COL,2024-04-01,pw,0.000000000,,,1,2024
COL,2024-07-01,pw,0.000000000,,,2,2024
CUB,2024-04-01,pw,4907.000000000,,,1,2024
CYP,2024-07-01,pw,0.000000000,,,2,2024
DMA,2024-04-01,pw,0.000000000,,,1,2024
DMA,2024-07-01,pw,0.000000000,,,2,2024
ESP,2024-07-01,pw,1819.000000000,,,2,2024
GNB,2024-04-01,pw,1935.000000000,,,1,2024
HKG,2024-04-01,pw,85.000000000,,,1,2024
HND,2024-04-01,pw,5111.000000000,,,1,2024
HND,2024-07-01,pw,7832.000000000,,,2,2024
IRL,2024-07-01,pw,2139.000000000,,,2,2024
IRN,2024-04-01,pw,0.000000000,,,1,2024
KGZ,2024-04-01,pw,2.000000000,,,1,2024
KNA,2024-04-01,pw,0.000000000,,,1,2024
LAO,2024-04-01,pw,44.000000000,,,1,2024
LVA,2024-07-01,pw,0.000000000,,,2,2024
MDA,2024-04-01,pw,0.000000000,,,1,2024
MDA,2024-07-01,pw,0.000000000,,,,
MEX,2024-04-01,pw,82430.000000000,,,1,2024
MNE,2024-04-01,pw,0.000000000,,,1,2024
MSR,2024-07-01,pw,0.000000000,,,2,2024
OMN,2024-04-01,pw,0.000000000,,,1,2024
OMN,2024-07-01,pw,0.000000000,,,2,2024
PAN,2024-04-01,pw,141.000000000,,,1,2024
PAN,2024-07-01,pw,31.000000000,,,2,2024
PER,2024-04-01,pw,4894.000000000,,,1,2024
PRT,2024-04-01,pw,1704.000000000,,,1,2024
PRT,2024-07-01,pw,1830.000000000,,,2,2024
PRY,2024-04-01,pw,866.000000000,,,1,2024
PRY,2024-07-01,pw,619.000000000,,,2,2024
PSE,2024-04-01,pw,0.000000000,,,1,2024
PSE,2024-07-01,pw,0.000000000,,,2,2024
SLV,2024-04-01,pw,317.000000000,,,1,2024
SLV,2024-07-01,pw,397.000000000,,,2,2024
SMR,2024-04-01,pw,0.000000000,,,1,2024
SMR,2024-07-01,pw,0.000000000,,,2,2024
SYC,2024-04-01,pw,0.000000000,,,1,2024
TCA,2024-04-01,pw,0.000000000,,,1,2024
URY,2024-04-01,pw,1271.000000000,,,1,2024
URY,2024-07-01,pw,383.000000000,,,2,2024
AFG,2024-04-01,all,470247.000000000,,,1,2024
ALB,2024-07-01,all,1040.000000000,,,2,2024
AND,2024-04-01,all,203.000000000,,,1,2024
AND,2024-07-01,all,176.000000000,,,2,2024
ARG,2024-04-01,all,886723.000000000,,,1,2024
ARG,2024-07-01,all,1389993.000000000,,,2,2024
AUT,2024-04-01,all,21618.000000000,,,1,2024
AUT,2024-07-01,all,1493.000000000,,,2,2024
BEL,2024-07-01,all,10224.000000000,,,2,2024
BGD,2024-07-01,all,1712.000000000,,,2,2024
BGR,2024-04-01,all,1869.000000000,,,1,2024
BGR,2024-07-01,all,2299.000000000,,,2,2024
BLR,2024-04-01,all,1892.000000000,,,1,2024
BLZ,2024-04-01,all,1057.000000000,,,1,2024
BLZ,2024-07-01,all,9.000000000,,,2,2024
BRA,2024-04-01,all,650409.000000000,,,1,2024
BRB,2024-04-01,all,0.000000000,,,1,2024
BRB,2024-07-01,all,0.000000000,,,2,2024
BTN,2024-04-01,all,0.000000000,,,1,2024
CHL,2024-04-01,all,447217.000000000,,,1,2024
CIV,2024-04-01,all,90438.000000000,,,1,2024
COL,2024-04-01,all,223140.000000000,,,1,2024
COL,2024-07-01,all,627413.000000000,,,2,2024
CRI,2024-04-01,all,15324.000000000,,,1,2024
CRI,2024-07-01,all,3445.000000000,,,2,2024
CUB,2024-04-01,all,113798.000000000,,,1,2024
CYP,2024-07-01,all,7690.000000000,,,2,2024
CZE,2024-04-01,all,20709.000000000,,,1,2024
CZE,2024-07-01,all,21314.000000000,,,2,2024
DEU,2024-04-01,all,289637.000000000,,,1,2024
DEU,2024-07-01,all,295744.000000000,,,2,2024
DMA,2024-04-01,all,0.000000000,,,1,2024
DMA,2024-07-01,all,0.000000000,,,2,2024
DNK,2024-07-01,all,7727.000000000,,,2,2024
DOM,2024-04-01,all,37498.000000000,,,1,2024
ESP,2024-07-01,all,572389.000000000,,,2,2024
EST,2024-07-01,all,3836.000000000,,,2,2024
FIN,2024-04-01,all,58512.000000000,,,1,2024
FIN,2024-07-01,all,61842.000000000,,,2,2024
FRA,2024-04-01,all,286571.000000000,,,1,2024
FRA,2024-07-01,all,286571.000000000,,,2,2024
GHA,2024-04-01,all,266244.000000000,,,1,2024
GNB,2024-04-01,all,183605.000000000,,,1,2024
GRC,2024-04-01,all,165775.000000000,,,1,2024
GRC,2024-07-01,all,168767.000000000,,,2,2024
GTM,2024-04-01,all,13758.000000000,,,1,2024
GUY,2024-04-01,all,219.000000000,,,1,2024
HKG,2024-04-01,all,137744.000000000,,,1,2024
HND,2024-04-01,all,75022.000000000,,,1,2024
HND,2024-07-01,all,107754.000000000,,,2,2024
HUN,2024-07-01,all,20189.000000000,,,2,2024
IDN,2024-04-01,all,446.000000000,,,1,2024
IDN,2024-07-01,all,3127.000000000,,,2,2024
IRL,2024-07-01,all,188830.000000000,,,2,2024
IRN,2024-04-01,all,0.000000000,,,1,2024
ISL,2024-04-01,all,930.000000000,,,1,2024
ISL,2024-07-01,all,930.000000000,,,2,2024
ITA,2024-07-01,all,0.000000000,,,2,2024
KAZ,2024-07-01,all,3773.000000000,,,2,2024
KGZ,2024-04-01,all,19295.000000000,,,1,2024
KHM,2024-04-01,all,431820.000000000,,,1,2024
KNA,2024-04-01,all,0.000000000,,,1,2024
KWT,2024-04-01,all,1990.000000000,,,1,2024
LAO,2024-04-01,all,2407.000000000,,,1,2024
LIE,2024-04-01,all,47.000000000,,,1,2024
LIE,2024-07-01,all,49.000000000,,,2,2024
LTU,2024-07-01,all,0.000000000,,,2,2024
LUX,2024-07-01,all,1115.000000000,,,2,2024
LVA,2024-07-01,all,110.000000000,,,2,2024
MDA,2024-04-01,all,1542.000000000,,,1,2024
MDA,2024-07-01,all,648.000000000,,,2,2024
MDV,2024-04-01,all,15.000000000,,,1,2024
MEX,2024-04-01,all,3353793.000000000,,,1,2024
MNE,2024-04-01,all,106.000000000,,,1,2024
MNE,2024-07-01,all,10.000000000,,,2,2024
MSR,2024-07-01,all,0.000000000,,,2,2024
NER,2024-04-01,all,87075.000000000,,,1,2024
NLD,2024-04-01,all,4029.000000000,,,1,2024
NLD,2024-07-01,all,4871.000000000,,,2,2024
NOR,2024-07-01,all,16253.000000000,,,2,2024
NPL,2024-04-01,all,8528.000000000,,,1,2024
OMN,2024-04-01,all,50.000000000,,,1,2024
OMN,2024-07-01,all,42.000000000,,,2,2024
PAN,2024-04-01,all,8347.000000000,,,1,2024
PAN,2024-07-01,all,1004.000000000,,,2,2024
PER,2024-04-01,all,49497.000000000,,,1,2024
PNG,2024-04-01,all,1705.000000000,,,1,2024
POL,2024-04-01,all,351070.000000000,,,1,2024
POL,2024-07-01,all,366594.000000000,,,2,2024
PRT,2024-04-01,all,361018.000000000,,,1,2024
PRT,2024-07-01,all,365138.000000000,,,2,2024
PRY,2024-04-01,all,49979.000000000,,,1,2024
PRY,2024-07-01,all,134285.000000000,,,2,2024
PSE,2024-04-01,all,0.000000000,,,1,2024
PSE,2024-07-01,all,0.000000000,,,2,2024
QAT,2024-04-01,all,1699.000000000,,,1,2024
ROU,2024-04-01,all,158.000000000,,,1,2024
ROU,2024-07-01,all,1727.000000000,,,2,2024
SAU,2024-04-01,all,61173.000000000,,,1,2024
SEN,2024-04-01,all,611.000000000,,,1,2024
SEN,2024-07-01,all,737.000000000,,,2,2024
SLV,2024-04-01,all,17334.000000000,,,1,2024
SLV,2024-07-01,all,22352.000000000,,,2,2024
SMR,2024-04-01,all,75.000000000,,,1,2024
SMR,2024-07-01,all,75.000000000,,,2,2024
SVN,2024-07-01,all,1882.000000000,,,2,2024
SWE,2024-07-01,all,0.000000000,,,2,2024
SYC,2024-04-01,all,0.000000000,,,1,2024
SYR,2024-04-01,all,1799.000000000,,,1,2024
TCA,2024-04-01,all,0.000000000,,,1,2024
TCA,2024-07-01,all,17.000000000,,,2,2024
TJK,2024-04-01,all,41828.000000000,,,1,2024
TJK,2024-07-01,all,41828.000000000,,,2,2024
UKR,2024-04-01,all,6044.000000000,,,1,2024
UKR,2024-07-01,all,53906.000000000,,,2,2024
URY,2024-04-01,all,91684.000000000,,,1,2024
URY,2024-07-01,all,22540.000000000,,,2,2024
UZB,2024-04-01,all,2502.000000000,,,1,2024
UZB,2024-07-01,all,630192.000000000,,,2,2024
